Video ID,Title,Publish Date,Link,Views_Gained,Views_2026-03-14,Views_2026-03-10,Views_2026-03-11,Views_2026-03-12,Views_2026-03-13
zOkGHnsmORY,Handling Disrespect: 7 Situations Where Silence Is Real Power | Stoic Wisdom,2025-11-25T12:40:03Z,https://www.youtube.com/watch?v=zOkGHnsmORY,31.0,1521.0,1425.0,1433.0,1456.0,1490.0
7dzAj6kW8oM,"When Someone Disrespects You, Say This (5 Stoic Responses)",2025-11-22T14:00:10Z,https://www.youtube.com/watch?v=7dzAj6kW8oM,6.0,556.0,538.0,539.0,542.0,550.0
mpZoXoLMD3A,They Disrespect You to Get a Reaction — Do This Instead,2025-11-23T14:01:21Z,https://www.youtube.com/watch?v=mpZoXoLMD3A,5.0,401.0,382.0,383.0,387.0,396.0
UnPmWxqA9Vw,This Question Is a Trap: 5 Stoic Rules for Dealing With Manipulators | Stoic Wisdom,2025-11-28T12:40:00Z,https://www.youtube.com/watch?v=UnPmWxqA9Vw,0.0,309.0,309.0,309.0,309.0,309.0
8bZc3UMmGkg,"If They Reply With One Word, Do This (Stoic Texting Rule)",2026-01-08T12:00:30Z,https://www.youtube.com/watch?v=8bZc3UMmGkg,0.0,301.0,297.0,298.0,300.0,301.0
9M1kjkk6oG8,Why People DISRESPECT You (You Made It SAFE),2026-02-09T12:00:16Z,https://www.youtube.com/watch?v=9M1kjkk6oG8,1.0,279.0,273.0,274.0,275.0,278.0
2OilqvW_HzY,Why Silence & Walking Away Beat Every Disrespect (3 Stoic Rules),2025-12-10T00:30:03Z,https://www.youtube.com/watch?v=2OilqvW_HzY,0.0,266.0,265.0,266.0,266.0,266.0
brLELECTtR8,4 Habits That Destroy Your Self-Respect (Stop These First) | Stoicism | Stoic Lessons,2025-11-24T13:01:09Z,https://www.youtube.com/watch?v=brLELECTtR8,10.0,226.0,201.0,202.0,205.0,216.0
sGpvEkU4S-0,People Don’t Take You Seriously? Say These 5 Stoic Phrases | Stoic Lessons,2025-12-13T00:45:09Z,https://www.youtube.com/watch?v=sGpvEkU4S-0,0.0,204.0,204.0,204.0,204.0,204.0
C19SUX9jC1o,WALK AWAY When Disrespected (When Walking Away Is POWER),2026-02-13T12:00:16Z,https://www.youtube.com/watch?v=C19SUX9jC1o,1.0,190.0,176.0,176.0,184.0,189.0
